n players,32,33,34,35,36,37,38,39,40,41,42,43,44
0,13.30%,26.60%,26.10%,40.20%,39.50%,45.10%,45.10%,44.00%,43.90%,39.10%,37.60%,,
1,1.40%,4.40%,4.90%,11.10%,11.90%,22.90%,23.40%,33.70%,34.20%,36.50%,36.60%,,
2,0.00%,0.20%,0.30%,1.10%,1.10%,3.60%,3.80%,9.60%,9.10%,17.80%,18.80%,,
3,0.30%,0.10%,0.10%,0.10%,0.10%,0.40%,0.10%,1.00%,0.90%,2.70%,3.20%,,
4,1.90%,0.30%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.30%,,
5,9.40%,1.80%,1.80%,0.30%,0.40%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,,
6,26.70%,8.40%,8.20%,1.50%,1.60%,0.30%,0.30%,0.00%,0.00%,0.00%,0.00%,,
7,31.50%,19.80%,20.90%,5.70%,5.80%,1.00%,1.30%,0.10%,0.10%,0.00%,0.00%,,
8,15.70%,27.10%,27.30%,14.50%,14.50%,3.80%,3.50%,0.50%,0.70%,0.10%,0.00%,,
9,,10.70%,9.40%,17.40%,17.50%,8.10%,8.50%,1.70%,2.00%,0.30%,0.20%,,
10,,10.80%,10.70%,17.40%,17.10%,19.30%,19.50%,13.60%,13.50%,10.70%,10.50%,,
11,,,,10.80%,10.60%,15.10%,14.20%,13.70%,13.50%,10.90%,11.00%,,
12,,,,,,10.40%,10.30%,11.70%,11.80%,10.90%,11.00%,,
13,,,,,,,,10.40%,10.30%,10.50%,10.60%,,
14,,,,,,,,,,10.20%,10.10%,,
